lon,lat
120.9931,14.7583
121.0039,14.5157
121.0027,14.4941
120.9541,14.5882
121.0076,14.6153
120.9908,14.5386
120.9695,14.5953
120.9551,14.6897
121.0111,14.787
120.9853,14.6097
121.0073,14.5101
120.9387,14.7139
120.9917,14.6682
121.0183,14.5065
121.0017,14.4648
120.9504,14.5197
121.0087,14.785
120.9817,14.5064
120.9716,14.6513
120.9938,14.5108
120.9595,14.5645
120.9783,14.4443
121.0029,14.621
120.9788,14.6577
120.9795,14.4729
120.9715,14.7453
120.9364,14.7022
121.0041,14.6121
120.9794,14.5082
121.0163,14.6306
120.9701,14.4642
120.9764,14.5294
121.0181,14.6324
121.0173,14.5531
120.9717,14.5866
120.9782,14.751
121.0051,14.7772
121.0299,14.5396
121.0276,14.5371
121.0115,14.7834
121.0071,14.5457
120.9903,14.7638
120.9739,14.4825
120.9773,14.6262
120.96,14.731
120.9351,14.7103
120.9606,14.4562
121.0036,14.495
120.9737,14.4483
120.9897,14.4521
120.9646,14.645
120.9746,14.4492
121.0196,14.7875
120.9914,14.5762
120.9954,14.6397
120.9997,14.5808
120.9604,14.5654
121.0285,14.7172
121.0047,14.6228
120.961,14.6156
120.9703,14.4449
121.0294,14.51
121.0194,14.6257
121.008,14.5467
121.0145,14.5162
121.0127,14.7843
121.0274,14.7166
121.0231,14.4905
121.0292,14.6863
120.9756,14.7478
120.9975,14.7701
120.9961,14.4879
120.9486,14.5179
121.0194,14.6776
120.9683,14.5272
121.0084,14.5109
120.9524,14.7223
121.0091,14.5202
120.9632,14.5245
121.0131,14.6755
120.9561,14.4519
120.9512,14.5579
121.0102,14.5127
121.0003,14.5042
120.9757,14.4843
121.0214,14.635
120.971,14.4379
120.9936,14.6379
120.9965,14.4695
121.0174,14.5056
120.9658,14.7379
120.9904,14.6004
120.9544,14.5625
120.9989,14.5042
121.0251,14.6605
120.9663,14.5814
120.9554,14.7301
120.9562,14.5643
120.9782,14.5313
121.0184,14.6553
121.0127,14.7055
120.9849,14.5066
120.962,14.7337
120.9899,14.7661
120.9942,14.7706
120.962,14.4937
120.9949,14.7603
120.9569,14.6916
121.0111,14.502
120.973,14.5295
121.04,14.5157
120.9433,14.5571
121.0088,14.4733
121.0093,14.5855
121.0098,14.4816
121.0278,14.4952
120.9835,14.596
120.984,14.758
